Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
1,828.8404714,2622.872057,772.3533857,1069.215686,1188.553371,1061.268557,-542.3661,8.4,3.55,0.54,13.7,0.776,1.037,469,164,90.01,86.53
1,824.3947286,2610.450129,769.3750286,1068.634543,1188.553371,1061.965929,-555.1076571,8.4,3.56,0.52,13.7,0.76,1.071,475,165,82.01,40.8
1,821.5326,2604.871157,765.1617429,1074.707486,1197.938829,1063.186329,-554.0325429,8.5,3.55,0.53,13.7,0.816,1.063,425,176,70.01,227.78
2,781.1431714,2556.273086,753.0594429,1058.508129,1173.864986,1047.059614,-575.5784143,8.2,3.47,0.55,12.8,0.632,0.874,400,126,110.01,72.5
2,781.8696,2551.260729,746.5651714,1057.767171,1171.830986,1047.146786,-576.2612571,8.2,3.48,0.56,13.2,0.688,0.866,396,135,92.01,131
2,778.4408571,2542.659814,754.5413571,1062.735943,1178.543186,1048.149257,-574.4887714,8.1,3.47,0.56,12.8,0.704,0.84,393,136,108.01,189.5
3,951.4761429,2425.051029,780.9688286,7.453157143,905.8854857,1067.109043,1509.010071,8.1,3.51,0.58,12.4,0.304,0.917,130,77,76.01,197.1
3,952.1589857,2419.835271,783.1771714,10.08282857,907.6143857,1067.820943,1516.390586,8.1,3.5,0.56,12.4,0.336,0.891,133,83,76.01,292.74
3,954.0912857,2421.6804,785.6179714,12.04418571,910.8542571,1067.472257,1530.977271,8.1,3.5,0.58,12.4,0.304,0.943,136,84,76.01,81.45
4,1219.659043,1978.588029,780.0244714,817.0868571,1103.532171,1109.576057,1538.8227,8.8,3.83,0.57,14.2,1.04,1.08,462,185,93.01,82.5
4,1222.477586,1984.907957,789.0612429,822.7675286,1107.774514,1108.965857,1556.256986,8.8,3.84,0.58,14.7,1.12,1.08,463,196,94.01,220.03
4,1221.489643,1995.528343,774.8087143,801.3378857,1088.364343,1102.558757,1524.7881,8.8,3.83,0.58,14.4,1.152,1.063,492,191,97.01,165.48
