Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
14H-10,828.840471428571,2622.87205714286,772.353385714286,1069.21568571429,1188.55337142857,1061.26855714286,-542.3661,8.4,3.55,0.54,13.7,0.776,1.037,469,164,90.01,86.53
14H-10,824.394728571428,2610.45012857143,769.375028571429,1068.63454285714,1188.55337142857,1061.96592857143,-555.107657142857,8.4,3.56,0.52,13.7,0.76,1.071,475,165,82.01,40.80
14H-10,821.5326,2604.87115714286,765.161742857143,1074.70748571429,1197.93882857143,1063.18632857143,-554.032542857143,8.5,3.55,0.53,13.7,0.816,1.063,425,176,70.01,227.78
181-10,781.143171428571,2556.27308571429,753.059442857143,1058.50812857143,1173.86498571429,1047.05961428571,-575.578414285714,8.2,3.47,0.55,12.8,0.632,0.874,400,126,110.01,72.50
181-10,781.8696,2551.26072857143,746.565171428572,1057.76717142857,1171.83098571429,1047.14678571429,-576.261257142857,8.2,3.48,0.56,13.2,0.688,0.866,396,135,92.01,131.00
181-10,778.440857142857,2542.65981428571,754.541357142857,1062.73594285714,1178.54318571429,1048.14925714286,-574.488771428571,8.1,3.47,0.56,12.8,0.704,0.84,393,136,108.01,189.50
An-11,951.476142857142,2425.05102857143,780.968828571429,7.45315714285714,905.885485714286,1067.10904285714,1509.01007142857,8.1,3.51,0.58,12.4,0.304,0.917,130,77,76.01,197.10
An-11,952.158985714286,2419.83527142857,783.177171428572,10.0828285714286,907.614385714286,1067.82094285714,1516.39058571429,8.1,3.5,0.56,12.4,0.336,0.891,133,83,76.01,292.74
An-11,954.091285714286,2421.6804,785.617971428571,12.0441857142857,910.854257142857,1067.47225714286,1530.97727142857,8.1,3.5,0.58,12.4,0.304,0.943,136,84,76.01,81.45
AT-08,1219.65904285714,1978.58802857143,780.024471428571,817.086857142857,1103.53217142857,1109.57605714286,1538.8227,8.8,3.83,0.57,14.2,1.04,1.08,462,185,93.01,82.50
AT-08,1222.47758571429,1984.90795714286,789.061242857143,822.767528571429,1107.77451428571,1108.96585714286,1556.25698571429,8.8,3.84,0.58,14.7,1.12,1.08,463,196,94.01,220.03
AT-08,1221.48964285714,1995.52834285714,774.808714285714,801.337885714286,1088.36434285714,1102.55875714286,1524.7881,8.8,3.83,0.58,14.4,1.152,1.063,492,191,97.01,165.48
Be-10,1200.75737142857,2033.97094285714,780.663728571429,834.288685714286,1100.56834285714,1138.54602857143,1470.52388571429,9.2,3.51,0.65,14.2,1.328,1.534,532,165,121.01,34.78
Be-10,1202.71872857143,2018.09121428571,780.082585714286,840.724842857143,1109.96832857143,1140.42021428571,1479.88028571429,9.2,3.51,0.63,14.2,1.456,1.543,544,168,108.01,83.24
Be-10,1205.59538571429,2012.75922857143,780.474857142857,842.264871428572,1113.4116,1140.81248571429,1492.57825714286,9.2,3.5,0.63,14.5,1.424,1.551,522,166,123.01,84.73
BF,943.848642857143,2326.57637142857,756.618942857143,-79.3114714285714,857.650628571429,1046.91432857143,1592.28784285714,8.6,3.64,0.53,12.2,0.696,1.423,349,152,124.01,97.07
BF,950.546314285715,2325.39955714286,765.583071428571,-69.3884571428571,868.852157142857,1049.92174285714,1564.10241428571,8.6,3.65,0.54,12.2,0.696,1.466,355,155,106.01,121.90
BF,944.575071428572,2333.07064285714,760.701471428571,-80.1541285714286,858.696685714286,1045.69392857143,1570.13177142857,8.6,3.65,0.53,12.2,0.672,1.517,347,156,103.01,174.85
BO-10,822.157328571428,2675.04415714286,749.369185714286,1173.22572857143,1249.60242857143,1039.51928571429,-540.7389,7.9,3.56,0.56,13.7,0.88,1.174,382,148,100.01,151.30
BO-10,823.130742857143,2677.8627,750.575057142857,1173.98121428571,1249.4862,1039.1706,-543.150642857143,7.9,3.57,0.55,13.7,0.88,1.166,399,158,75.01,129.55
BO-10,825.222857142857,2685.76624285714,751.403185714286,1172.22325714286,1250.15451428571,1037.76132857143,-540.085114285714,7.9,3.57,0.56,13.4,0.832,1.174,394,155,90.01,287.73
BS-10,1176.59635714286,2238.32982857143,821.256557142857,-119.1924,1370.916,1127.32997142857,737.746328571429,7.6,3.58,0.66,13.2,1.064,0.746,575,145,68.01,175.15
BS-10,1175.02727142857,2233.6371,831.571842857143,-121.662257142857,9587.92731428572,1144.70614285714,714.834771428571,7.6,3.58,0.66,13.2,1.12,0.78,591,154,58.01,142.88
BS-10,1179.1098,2233.79691428571,836.874771428572,-113.627957142857,2096.58908571429,1132.61837142857,722.898128571428,7.6,3.59,0.65,13.2,1.2,0.737,599,156,69.01,43.43
BV-11,940.056685714286,2331.63231428571,750.589585714286,-83.7281571428571,853.393757142857,1053.29237142857,1588.6557,8,3.6,0.53,13.2,0.352,0.986,264,121,76.01,222.13
BV-11,943.354671428571,2330.78965714286,756.473657142857,-74.7785571428571,863.578285714286,1058.01415714286,1603.46031428571,8,3.6,0.55,13.2,0.064,1.32,241,123,86.01,283.29
BV-11,946.0134,2333.98594285714,764.057571428571,-68.9380714285714,869.578585714286,1057.44754285714,1586.04055714286,8,3.6,0.54,13.2,0.344,1.029,237,130,97.01,76.18
Ca-07,1172.96421428571,2245.87015714286,848.7882,-107.758414285714,1611.46555714286,1118.10432857143,739.112014285714,8.5,3.7,0.59,14.48,1.416,0.986,533,195,143.01,194.46
Ca-07,1178.61582857143,2248.44171428571,852.173357142857,-107.380671428571,1599.66835714286,1118.7,724.946657142857,8.5,3.7,0.57,14,1.424,1.029,548,201,117.01,176.15
Ca-07,1174.75122857143,2247.32301428571,851.926371428571,-105.608185714286,1588.4523,1118.62735714286,725.614971428571,8.5,3.7,0.57,14,1.432,1.003,560,195,131.01,126.67
CaC-06,1227.7224,1969.3188,779.762957142857,759.4956,1012.19104285714,1081.9863,1433.65037142857,8.4,3.76,0.64,13.5,1.936,0.96,514,157,59.01,89.15
CaC-06,1229.64017142857,1974.98494285714,780.620142857143,759.510128571429,1011.13045714286,1081.62308571429,1429.56784285714,8.4,3.77,0.66,13.7,1.968,0.994,504,170,61.01,155.06
CaC-06,1232.08097142857,1982.30734285714,775.709485714286,748.366714285714,1002.44237142857,1078.04905714286,1424.3085,8.4,3.76,0.66,13.5,1.968,1.02,498,162,63.01,220.96
CB-11,1166.77504285714,1929.07465714286,756.793285714286,769.810885714286,1002.70388571429,1099.5804,1433.8683,8.4,3.4,0.7,13.5,1.256,1.037,493,159,75.01,80.48
CB-11,1167.37071428571,1925.57327142857,758.028214285714,773.413971428571,1006.88811428571,1098.83944285714,1440.36257142857,8.4,3.4,0.71,13.5,1.296,1.08,500,165,81.01,183.98
CB-11,1166.06314285714,1919.42768571429,757.403485714286,771.932057142857,1006.3215,1099.11548571429,1439.41821428571,8.4,3.4,0.71,14,1.376,1.037,498,161,79.01,166.81
CC-07,950.982171428571,2315.67994285714,671.263585714286,-302.470328571429,688.538057142857,1082.50932857143,1558.94477142857,7.9,3.8,0.51,12.8,0.272,1.294,41,72,38.00,45.80
CC-07,953.6409,2319.3702,681.506228571428,-295.307742857143,695.758757142857,1170.42171428571,1557.39021428571,7.9,3.79,0.48,13.2,0.28,1.294,37,70,46.00,88.85
CC-07,955.98,2327.7096,669.432985714285,-306.785314285714,684.818742857143,1069.40455714286,1554.71695714286,7.9,3.79,0.48,13,0.312,1.286,43,69,56.01,41.79
CdB-10,1243.23891428571,1991.41675714286,819.164442857143,872.629585714286,1123.77047142857,1122.2595,1466.514,8.2,3.52,0.63,13,1.352,1.457,454,171,87.01,111.47
CdB-10,1243.93628571429,1990.00748571429,828.317442857143,877.002685714286,1130.74418571429,1123.56707142857,1449.64632857143,8.2,3.51,0.65,13,1.416,1.474,469,174,89.01,3.57
CdB-10,1240.91434285714,1989.73144285714,820.573714285714,868.227428571429,1121.82364285714,1120.96645714286,1444.79378571429,8.2,3.52,0.62,12.8,1.392,1.543,468,178,87.01,57.52
CL-11,961.079528571429,2269.07228571429,741.276771428571,574.851985714286,908.006657142857,1041.34988571429,1582.23407142857,8.1,3.66,0.49,11.6,0.168,0.883,95,80,68.01,72.27
CL-11,961.617085714286,2272.87877142857,750.560528571429,581.360785714286,915.183771428572,1043.19501428571,1581.28971428571,8.1,3.68,0.47,12,0.12,0.917,94,84,73.01,28.45
CL-11,962.343514285714,2275.71184285714,762.386785714286,582.900814285714,916.680214285714,1042.09084285714,1583.71598571429,8.1,3.67,0.48,12,0.088,0.926,96,96,80.01,31.08
Col-09,1197.57561428571,2256.27261428571,825.557014285714,-134.810614285714,1367.32744285714,1118.24961428571,690.296014285714,8.3,3.76,0.48,13,1.288,1.166,458,181,95.01,167.97
