Loans,ParentsIncome,NumberOfSiblings,StudentIncome,WorkExperience,Education,MinimumWage,Grades,TuitionPaid,Years,College,OutOfState,PreferenceForNiceThings,NumberOfRoomies,State,Materials
1,244494.578,3,14002,1,0,2,0.4,634.5913956,6,105.7652326,0,8,0,2115.251325,4137.594607
0,84624.70607,8,24000,0,1,1,0.6,6123.412786,1,6123.412786,0,2,4,607.0022059,1448.93921
0,10352.46053,1,12000,4,0,0,3.9,30732.35331,2,7683.088328,1,4,7,6758.011526,1986.293983
1,54663.34876,1,14021,7,0,3,0.1,24581.54817,7,3511.649739,0,1,5,3849.210201,3771.359677
1,54606.5144,7,8002,2,0,1,0.2,99803.18166,5,9980.318166,1,4,7,13916.33405,243.162897
1,71547.08101,7,4000,0,1,1,1.9,90611.29589,7,6472.235421,1,5,8,7537.387682,2993.755482
0,87050.88529,0,10005,5,0,1,0.8,12249.27667,1,6124.638336,1,6,4,3188.506598,3994.4809
1,96965.52937,5,30006,3,0,2,0.6,74233.95936,5,7423.395936,1,8,3,5852.888044,2200.170091
0,59570.91426,9,26020,5,1,2,0.1,0,0,5372.133835,1,2,4,5525.579558,1369.697264
1,80942.43366,3,18000,0,0,3,3,17394.28555,5,3478.857111,0,9,5,8643.687826,4448.209137
1,48440.0878,1,26000,4,1,0,3.2,0,0,5577.079562,1,5,0,5771.60298,1905.715618
1,47757.38774,0,8000,2,1,0,2.5,30742.22651,7,4391.746644,0,6,5,9681.20323,4291.797423
0,82598.25511,9,26000,7,0,0,2.7,14555.4296,2,7277.714801,0,3,9,3303.840122,2962.550701
1,54193.34751,4,18004,1,1,2,1.2,18023.84362,3,6007.947875,0,7,6,2487.166354,3811.527102
0,32313.18613,7,14036,6,1,3,2.8,0,0,4888.906494,1,0,8,10653.47485,942.4798432
0,49711.48601,0,12016,4,1,2,2,2924.691587,3,974.8971958,0,1,0,5872.764497,3153.378651
0,12953.63058,8,38010,5,1,1,1.2,11900.36253,2,2975.090633,1,6,6,5582.29708,3460.460681
1,56691.9048,2,16003,1,0,3,2.9,49357.56577,5,9871.513154,0,0,4,12244.29199,1809.687426
1,74698.81042,1,22024,6,1,2,1.1,119142.753,7,8510.196641,1,0,4,6540.87438,1225.290326
0,72618.53541,1,6000,0,0,3,3.8,5524.441109,3,1841.48037,0,5,7,1176.94453,2198.047699
1,99750.72059,3,12000,3,0,0,0.7,19171.31653,4,4792.829132,0,7,7,8089.02683,2652.019211
1,42653.06723,8,24014,7,0,2,2.3,42393.67625,7,6056.239464,0,8,3,10118.3744,357.5815198
0,6476.470726,1,32000,0,1,2,3.3,10922.85129,7,780.2036639,1,4,0,4152.010086,344.339526
0,18324.4045,0,20000,0,0,0,1.2,14957.56109,1,7478.780546,1,0,6,6153.553501,3706.110563
1,25301.39856,5,2000,6,1,0,1.1,6798.572176,1,6798.572176,0,1,7,8868.633451,2218.03017
1,3689.7676,4,36000,3,1,0,0.5,56847.59682,3,9474.59947,1,9,4,10256.28755,407.3609973
1,56483.83661,6,18014,7,0,2,1,42621.71741,5,8524.343481,0,9,1,1425.034518,3689.55449
0,92320.82076,1,16012,6,1,1,3,8000.741288,2,4000.370644,0,7,4,6632.822549,2347.957551
0,88558.88271,3,36000,7,0,0,3.1,17330.06176,7,2475.723108,0,1,1,14950.98829,2212.863702
1,68699.38242,3,32010,5,0,2,0.2,122133.2263,7,8723.801881,1,9,0,6854.788992,560.1426099
1,76590.02958,9,2024,4,1,3,0.6,37241.57978,5,7448.315957,0,1,5,7385.109043,1204.000175
0,31883.40769,4,20028,7,1,2,1.3,16819.44514,7,2402.777877,0,9,5,2863.372436,3447.77928
1,1696.84996,6,30010,5,1,1,3.7,63626.53255,7,9089.50465,0,5,2,14813.83409,1149.937425
1,46850.20464,1,22016,4,1,2,0.7,62439.82681,6,5203.318901,1,1,1,8746.121594,2430.383998
1,42696.74019,1,4002,1,1,1,1.4,6794.506275,1,6794.506275,0,1,1,1919.706671,4099.096008
1,1907.855338,8,2000,0,1,1,3.6,22152.36945,2,5538.092364,1,4,2,4844.913278,4551.187114
0,37799.91838,7,10000,3,1,0,2.4,0,0,612.7611706,0,5,9,1208.707295,1731.605311
0,45323.54089,8,18018,6,0,3,1.5,11309.16622,1,5654.583108,1,0,5,13309.3498,3790.505494
1,59325.06457,6,30,5,1,3,1.7,72305.10162,6,6025.425135,1,7,6,1704.298909,4920.65561
1,73293.71735,1,34010,5,1,1,0,45197.19181,4,5649.648976,1,9,9,2350.628987,596.311109
0,5048.206906,9,16004,2,0,2,2.7,8376.674739,1,8376.674739,0,7,9,7161.324043,1536.300039
0,80464.46236,0,28003,1,0,3,3.4,1295.884727,6,107.9903939,1,8,5,71.87669448,4897.251642
0,49239.77343,3,28000,7,1,0,2.9,12729.52595,3,4243.175315,0,7,4,1187.571419,1336.771527
0,69771.05024,8,30000,0,1,2,1.4,14608.21852,4,3652.054631,0,9,7,8985.22381,3702.763055
0,19011.58683,6,22006,1,1,3,1.6,16142.80042,1,8071.40021,1,6,8,2218.300904,197.3372787
1,9004.500105,2,8006,6,0,1,2.3,48423.22387,5,9684.644774,0,6,4,1432.375343,1910.656635
0,70815.1802,2,32000,4,1,0,0.8,6812.724837,4,1703.181209,0,0,2,3607.999,4414.234582
0,55297.77912,5,32008,4,1,1,3,11553.72822,2,2888.432056,1,4,1,6866.431675,912.8042906
1,15963.35434,4,4021,7,0,3,3.5,9556.788496,2,4778.394248,0,2,6,6530.852454,719.8272157
1,43638.63471,6,4021,7,0,3,2.1,0,0,3201.192188,1,6,3,1398.085303,4401.268723
0,77923.58722,7,36005,5,0,1,0.9,19795.4674,6,1649.622283,1,6,5,11135.62326,1857.16807
0,74528.54614,1,18000,0,1,3,3.6,55388.22872,7,7912.604102,0,0,1,4814.925224,2691.771986
1,7957.79718,5,34000,3,0,0,0.4,25478.80241,5,5095.760483,0,7,1,8484.429111,694.5601972
1,94625.56984,4,16010,5,0,2,2.3,5454.956497,4,1363.739124,0,7,3,14096.17337,3011.438096
0,97815.02436,1,26000,2,0,0,2.2,29154.11391,3,9718.037969,0,9,8,7619.026401,4824.002988
0,8339.389187,2,34000,7,1,0,0.2,10409.12645,7,743.5090323,1,4,3,2491.974577,4299.403164
1,10172.37608,2,20000,0,1,3,2.6,0,0,3905.397088,0,9,2,7455.800085,2416.515304
1,77561.04591,3,2020,5,1,2,0,8435.349292,3,2811.783097,0,6,4,14775.99867,4158.370511
1,15276.99565,0,10004,4,0,1,3.4,12271.16045,4,3067.790113,0,2,2,11536.76392,4770.933201
1,92425.69542,4,36008,4,1,1,3.6,0,0,890.3686552,0,8,0,14052.96328,2410.683626
1,46230.55957,1,2006,1,1,3,0.4,4887.083301,5,488.7083301,1,1,7,2713.878557,4232.261797
1,59393.36884,3,10000,0,0,0,0.3,12633.50382,2,3158.375954,1,5,9,12924.3923,4135.161952
0,76484.46015,1,22003,1,0,3,0.8,1940.077803,1,970.0389014,1,2,3,9809.05209,2735.21939
0,1130.00076,7,36018,3,1,3,2.8,8075.611265,4,1009.451408,1,5,6,3486.337229,4539.373761
1,79384.89621,4,4006,6,0,1,0.6,32343.2554,6,5390.542566,0,9,8,1015.666409,459.2519275
1,10675.01674,9,24020,5,1,2,1.4,23885.62106,3,3980.936843,1,8,1,13925.37228,899.421953
0,98134.59645,7,36009,3,0,3,2.7,2927.036809,4,731.7592022,0,0,9,7215.203255,3033.824261
1,10732.68189,5,24005,5,0,1,0.8,39662.03648,3,6610.339413,1,8,3,3828.897715,1180.702299
1,65526.92519,4,2007,7,0,1,3.7,8969.621097,3,1494.93685,1,4,0,4476.407668,2402.184671
0,96604.97663,0,30004,1,1,2,1.5,0,0,4554.122398,1,3,5,8183.583543,136.2967661
1,82571.15889,3,12018,6,0,3,2.9,27611.257,3,4601.876167,1,2,7,1188.323472,4297.484758
0,16671.27272,0,10000,0,0,1,1,831.7898949,3,277.2632983,0,9,1,903.8483017,4581.724219
1,13051.07384,3,24000,5,1,0,1.1,0,0,6870.410857,0,5,3,13480.57312,4745.075827
0,36757.31938,5,12000,5,1,0,2.8,0,0,7691.021084,0,1,8,13221.23007,431.3355071
0,16917.43509,9,20000,3,0,0,1.4,12239.51414,1,6119.757069,1,2,7,13178.9634,2897.070774
1,3157.554221,8,2016,4,1,2,1.3,36545.16346,6,6090.860577,0,9,2,10220.41045,2191.058638
1,11323.88376,8,24018,3,1,3,3.7,25649.62334,7,3664.231906,0,2,0,12758.80883,4593.446373
1,64076.00183,7,12018,3,1,3,1.6,34252.75461,2,8563.188654,1,3,1,3931.129552,3558.360606
0,25458.51926,2,12000,0,0,3,3.4,22991.85476,4,5747.96369,0,7,6,1341.397503,2184.224579
1,23498.34314,2,4014,7,1,1,0.1,8122.789679,1,8122.789679,0,8,2,5636.201052,3661.608623
0,82334.76303,3,34020,5,1,2,0.3,10082.38883,4,2520.597208,0,2,7,14737.0296,4902.7521
1,19829.25205,4,4,2,0,2,2.5,0,0,5564.502544,1,7,8,14107.63925,2237.247889
